,Word,Frequency
0,abbey,2639
1,visit,1533
2,history,1524
3,tour,1427
4,see,1385
5,time,1172
6,westminster,1134
7,place,1123
8,guide,1074
9,get,1038
10,audio,998
11,london,995
12,ticket,962
13,go,893
14,line,774
15,church,745
16,beautiful,731
17,inside,724
18,worth,710
19,people,705
20,many,680
21,much,643
22,queen,582
23,hour,573
24,amaze,572
25,well,564
26,would,540
27,building,505
28,service,490
29,architecture,477
30,must,474
31,great,464
32,experience,456
33,long,438
34,allow,435
35,around,431
36,tomb,418
37,queue,415
38,really,409
39,bury,409
40,day,404
41,gallery,402
42,interest,396
43,visita,384
44,make,373
45,recommend,367
46,crowd,355
47,walk,354
48,like,353
49,photo,349
50,lot,337
51,enjoy,332
52,visitor,326
53,entry,324
55,dont,312
56,wait,311
57,buy,301
58,online,300
59,site,297
60,even,291
61,royal,289
62,good,288
63,take,288
64,pay,281
65,king,272
66,spend,271
67,famous,270
68,cathedral,269
69,could,266
70,year,264
71,include,261
72,visiting,259
73,view,258
74,free,257
75,miss,250
76,pas,249
77,sure,248
78,look,245
79,didnt,245
80,love,240
81,first,240
82,book,234
83,area,233
84,early,231
85,extra,229
86,minute,229
87,best,223
88,picture,221
89,poet,216
90,way,215
91,thing,213
92,jubilee,210
93,full,208
94,outside,207
95,wonderful,203
96,able,200
97,definitely,200
98,open,200
99,newton,199
100,part,198
101,visite,198
102,know,192
103,tourist,192
104,close,192
105,2,191
106,british,191
107,pena,190
108,londres,186
109,nice,185
110,give,182
111,england,182
112,use,181
113,need,181
114,enter,178
115,still,177
116,arrive,177
117,hawking,176
118,website,175
119,vale,174
120,coronation,173
121,staff,173
122,move,173
123,evensong,171
124,historical,170
125,quite,169
126,offer,169
127,bit,169
128,corner,169
129,choir,169
130,seeing,167
131,back,165
132,price,164
133,storia,163
134,trip,162
135,interior,162
136,walking,161
137,historia,160
138,say,158
139,plus,156
140,every,156
141,bien,155
142,1,154
143,stephen,154
144,attend,154
145,highly,153
146,entrance,153
147,très,153
148,learn,149
149,elizabeth,149
150,big,148
151,memorial,148
152,help,147
153,charge,145
154,molto,145
155,old,143
156,cant,143
157,disappoint,143
158,little,142
159,absolutely,141
160,floor,141
161,information,141
162,5,141
163,though,140
164,pound,140
165,going,140
166,advance,140
167,chapel,139
168,entrada,139
169,incredible,138
170,everything,138
171,however,137
172,busy,137
173,stun,135
174,helpful,134
175,new,134
176,lugar,134
177,mary,130
178,purchase,130
179,darwin,129
180,historic,129
181,rest,128
182,find,128
183,biglietto,128
184,photography,127
185,without,127
186,never,127
187,family,126
188,wedding,126
189,access,126
190,dentro,125
191,abadía,125
192,worship,125
193,found,124
194,detail,124
195,think,124
196,st,124
197,shop,122
198,world,122
199,beauty,122
200,morning,121
201,try,121
202,filum,120
203,english,119
204,c,119
205,abadia,119
206,diamond,118
207,always,118
208,money,117
209,avoid,117
210,informative,116
211,verger,116
212,cost,116
213,highlight,115
214,burial,115
215,londra,114
216,entrar,113
217,since,112
218,feel,111
219,lovely,111
220,number,109
221,fascinate,109
222,ask,109
223,charles,109
224,want,108
225,window,108
226,point,107
227,check,107
228,youre,106
229,sunday,106
230,provide,105
231,fee,105
232,taking,105
233,monument,105
234,last,105
235,audioguide,105
236,etc,104
237,easy,104
238,read,104
239,main,104
240,special,104
241,right,103
242,enough,102
243,magnificent,102
244,admission,102
245,impressive,101
246,person,101
247,looking,101
248,isaac,100
249,important,100
