,lat,long
187,37.1359031,-3.6997962
213,35.33251154,140.10228255
226,27.821353,-82.620093
237,42.310052799823204,-8.61946304295237
421,42.4864482,-2.2848111
477,42.490301,-3.5450651
538,51.391383,-0.39216
552,38.1707363,-1.4668122
636,42.67265,-2.03533
721,42.284782,-3.794911
831,42.490301,-3.5450651
922,42.9950498,-1.3445432
925,42.9950498,-1.3445432
1006,38.70853,-0.98572
1051,43.38593893271157,-8.406595587730408
1077,26.6988679,-101.52553
1092,43.2467147,-8.27078
1094,42.8237296,-8.6323091
1118,43.22180424849579,-8.221455429827387
1123,43.417538244969215,-8.068553448322362
1129,42.8237296,-8.6323091
1142,43.3736598,-8.2229931
1150,43.46470951583092,-8.282039165496826
1153,42.8237296,-8.6323091
1175,43.4533012,-8.3473431
1177,43.4533012,-8.3473431
1178,43.482337943612066,-8.23714551627024
1222,43.2406807,-8.3770495
1226,51.46037,-0.965201
1254,42.2117,-8.7323
1255,42.2117,-8.7323
1317,42.8804533670607,-8.545732498168945
1318,42.8237296,-8.6323091
1381,37.7693815,-6.1637199
1423,42.7556589,-7.7660515
1429,42.8164467,-7.9995922
1455,42.7556589,-7.7660515
1486,42.284782,-3.794911
1487,42.8800507,-8.54469816
1508,43.4070908,-5.5917436
1540,42.77751510026665,-7.4138088018287345
1626,42.8237296,-8.6323091
1668,42.8237296,-8.6323091
1703,42.41981056116413,-3.1899183917660228
1724,40.3120713,-3.8890049
1725,42.1336181,-8.6916387
1836,42.4290487,-2.5422324
1872,42.5665948,-8.7255592
1954,42.3430948,-8.6984109
1995,41.96232,-3.41935
2043,40.4,-3.68333
2044,40.43279167,-3.69718611
2096,42.03622159501906,-8.646798133850098
2100,42.67698087,-1.81057903
2128,36.8333,-2.45
2268,40.3120713,-3.8890049
2411,41.4950118,1.8542375
2454,3.60774,-67.4417596
2464,42.76401424,-7.90691801
2502,42.76401424,-7.90691801
2503,42.8237296,-8.6323091
2596,43.01186501,-7.55773544
2598,42.8237296,-8.6323091
2605,43.0087,-1.31987
2643,42.90552729321628,-8.360496467183635
2644,42.90552729321628,-8.360496467183635
2645,42.90552729321628,-8.360496467183635
2657,38.53433,-0.81933
2662,43.32191,-3.01768
2680,43.01186501,-7.55773544
2695,42.371831310890336,-5.031237124834847
2733,43.0087,-1.31987
2734,43.0087,-1.31987
2738,43.03011,-7.32513
2740,42.8798431,-9.2981391
2809,42.8743764,-8.1340903
2810,42.8743764,-8.1340903
2812,42.8743764,-8.1340903
2839,42.3406,-3.70444
2862,42.8237296,-8.6323091
2877,42.6056,-5.57
2892,43.16334,-1.23743
2907,43.403221,-79.639319
2924,43.4344623,-3.8890505
2928,42.59934352,-5.56699723
2939,42.45777778,-6.05694444
3015,42.8804533670607,-8.545732498168945
3022,40.3120713,-3.8890049
3056,42.5665948,-8.7255592
3083,42.88057522520878,-8.54460597038269
3086,42.78076571277506,-7.490065664071466
3096,43.3013771,-8.4712842
3139,36.712301,-4.2392826
3153,42.1293801,-8.916355
3271,42.42085588,-3.18905607
3279,41.9603276,-8.8992321
3321,48.8155214,2.2241006
3326,41.8167,-8.85
3436,41.70151119,-8.83516431
3489,43.3692388,-7.4418014
3506,43.3013771,-8.4712842
3511,46.31474,-94.312073
3531,42.87684,-8.54432
3541,40.3919669,-3.8632712
3624,42.96809177,-8.44349446
3638,40.65762877,-4.69721854
3648,40.3120713,-3.8890049
3663,43.2788671,-6.0201004
3807,42.4273948,-5.2096875
3987,51.4551164,-0.5086841
3991,-33.4785739,-70.6929589
4013,43.2858832,-1.8521361
4123,42.284782,-3.794911
4149,43.2788671,-6.0201004
4164,39.631677,-86.348441
4184,43.1431011,-1.2466179
4271,36.8291816,27.2207684
4341,42.8800507,-8.54469816
4433,37.5820891,-5.6205968
4456,43.1351396,-8.9934183
4587,40.3120713,-3.8890049
4641,42.8237296,-8.6323091
4650,43.2176389,-2.0866885
4691,42.6976036,-0.5410493
4787,40.96055556,-5.66583333
4938,42.8237296,-8.6323091
4944,40.9144168,-5.7358551
4975,42.8800507,-8.54469816
5026,39.1250696,2.5637824
5041,38.2273565,-7.6128886
5317,41.77544709931779,-8.534084164128092
5346,42.8237296,-8.6323091
5387,42.8237296,-8.6323091
5466,42.8733828,-8.4220263
5489,42.8433824,-8.3012515
5641,41.4583644,-5.9771194
5667,42.7556589,-7.7660515
5681,40.6942254,0.5997883
5716,42.8237296,-8.6323091
5723,42.7556589,-7.7660515
5839,42.4290487,-2.5422324
5929,42.881855,-9.271996
6042,41.9603276,-8.8992321
6049,42.3430948,-8.6984109
6129,37.3136131,-6.0284301
6152,42.91340125,-8.011917
6167,42.8800507,-8.54469816
6212,36.1087953,-5.3663194
6287,42.4804282930374,-8.895307492500379
6303,37.5338887,-1.2255505
6307,42.8833,-8.55
6319,50.836524939077584,-0.23704405373208667
6372,41.016743,-73.8516
6436,42.8237296,-8.6323091
6457,42.8237296,-8.6323091
6534,41.046491,-73.894691
6554,43.040184,-8.0222874
6560,42.9055294,-9.183326
6572,42.8237296,-8.6323091
6574,42.9055294,-9.183326
6578,43.11244329,-9.21954011
6592,42.88667962,-8.49701822
6622,42.8733828,-8.4220263
6721,42.8433824,-8.3012515
6803,42.8800507,-8.54469816
6821,43.0991959,-6.8480354
6822,43.0991959,-6.8480354
6823,43.0991959,-6.8480354
6824,43.0991959,-6.8480354
6853,42.8164467,-7.9995922
6855,42.87684,-8.54432
6934,42.8237296,-8.6323091
6945,42.7556589,-7.7660515
6947,40.3120713,-3.8890049
6980,42.46305556,-8.74722222
6981,42.81152175,-8.56933594
6982,42.8237296,-8.6323091
6997,42.8800507,-8.54469816
7015,42.6978274,-7.54317
7030,42.8237296,-8.6323091
7031,42.8800507,-8.54469816
7066,42.9044,-8.36253
7074,42.8733828,-8.4220263
7080,43.2788671,-6.0201004
7081,43.2788671,-6.0201004
7092,42.8733828,-8.4220263
7114,42.7171071,-7.2740352
7116,42.9044,-8.36253
7121,43.2134578,-2.3754389
7176,42.92676,-8.16359
7195,42.70145480103158,-7.02218340194724
7211,42.92676,-8.16359
7215,42.8433824,-8.3012515
7229,42.8237296,-8.6323091
7272,42.8667,-7.86667
7300,43.47846935,-8.24390174
7320,42.8667,-7.86667
7372,42.8,-7.61667
7408,42.81048675,-7.62983143
7418,42.8800507,-8.54469816
7428,42.8237296,-8.6323091
7467,42.8237296,-8.6323091
7486,42.7802,-7.41375
7510,42.6978274,-7.54317
7531,42.87684,-8.54432
7610,43.449861,-1.5043439
7673,42.59934352,-5.56699723
7674,41.0022045,-2.8426672
7682,42.9044,-8.36253
7688,43.4416802,-5.8209772
7737,43.5622,-6.14641
7739,42.59934352,-5.56699723
7755,42.9839418,-8.1017157
7760,43.3833,-6.35
7810,42.45766,-6.05325
7885,42.9305719,-7.9427095
7886,42.46368,-5.88157
7889,42.8237296,-8.6323091
7911,42.46368,-5.88157
7921,42.46368,-5.88157
7936,42.4834,-5.72967
8040,36.3867663,-5.2198264
8042,36.3867663,-5.2198264
8044,43.2048631,-7.8207879
8051,37.5892698,-5.7553636
8070,42.6056,-5.57
8138,42.8237296,-8.6323091
8165,42.4241699,-5.2206
8168,42.87684,-8.54432
8170,42.8433824,-8.3012515
8187,55.4581,21.0619973
8197,-2.7,-78.88333333
8203,42.8733828,-8.4220263
8207,42.37109,-5.02618
8243,42.4653,-2.4484
8251,59.2271383,17.7601322
8261,42.88057522520878,-8.54460597038269
8264,37.3555341,-6.3317456
8265,42.8164467,-7.9995922
8275,43.45583636,-3.86458254
8277,42.7171071,-7.2740352
8288,42.8237296,-8.6323091
8307,42.880418317392326,-8.543838822577973
8320,42.8237296,-8.6323091
8322,42.3560132,-5.1874577
8324,42.3560132,-5.1874577
8336,42.8075088442035,-7.616380558084776
8337,42.7140162,-8.6836364
8348,42.8164467,-7.9995922
8353,42.26786,-4.40502
8363,42.7140162,-8.6836364
8382,43.00808983,-1.31970107
8390,42.8237296,-8.6323091
8408,42.55149765,-5.56963293
8409,42.88057522520878,-8.54460597038269
8417,42.8800507,-8.54469816
8431,42.5665948,-8.7255592
8461,42.8804533670607,-8.545732498168945
8467,42.3430948,-8.6984109
8468,42.7556589,-7.7660515
8475,36.6355853,-4.5879284
8487,42.87684,-8.54432
8490,42.8825738,-7.7352642
8499,42.3419170828578,-8.609816090524141
8512,43.48132,-5.43411
8521,40.4460066,-3.4473502
8524,42.7140162,-8.6836364
8531,42.2301205,-8.6779434
8537,28.4097691,-16.3435946
8549,42.91424312653845,-8.351717174520624
8597,40.9144168,-5.7358551
8624,41.9271539,-8.6819007
8636,42.915296952857645,-8.01653802394867
8651,43.46371,-5.06582
8652,42.91340124598119,-8.01191699554328
8657,42.6258701,-7.1826734
8702,42.8237296,-8.6323091
8746,42.2881793,-8.0037342
8762,42.84095,-7.735223
8766,43.42469,-4.78349
8795,40.4460066,-3.4473502
8803,42.7556589,-7.7660515
8813,59.3400441,17.9636591
8832,37.3136131,-6.0284301
8865,42.579758,-5.641834
8871,42.6978274,-7.54317
