,Word,Frequency
3,pilgrim,697
4,day,672
5,way,477
6,get,447
7,walking,430
8,experience,375
9,km,334
10,time,333
11,spain,310
12,trip,293
13,go,285
15,people,282
16,many,263
17,route,259
18,make,256
19,last,256
20,experiencia,255
21,start,255
22,along,243
23,beautiful,230
24,would,227
25,trail,222
26,travel,221
27,compostela,211
28,good,210
29,hotel,206
30,cathedral,202
31,part,193
32,stay,187
33,like,187
34,need,183
35,take,181
36,friend,181
37,life,180
38,sarria,180
39,great,180
40,well,179
41,food,176
42,gente,173
43,stop,171
44,year,170
45,much,167
46,journey,162
47,cammino,161
48,euro,161
49,every,158
50,book,157
51,buen,155
52,hacer,154
53,recommend,153
54,never,153
55,local,152
56,france,146
57,carry,146
58,little,145
59,amaze,140
60,guide,140
61,road,139
62,best,136
63,solo,136
64,place,133
65,walker,133
66,use,133
67,foot,133
68,say,132
69,dont,128
70,back,128
71,100,125
72,enjoy,124
73,town,124
74,city,124
75,pied,123
76,bus,123
77,tour,123
78,luggage,122
79,small,122
80,must,122
81,long,121
82,spanish,120
83,vida,118
84,cada,117
85,peregrine,117
86,jean,116
87,albergues,115
88,change,115
89,paul,113
90,port,113
91,could,111
92,two,111
93,2,111
94,certificate,111
95,week,110
96,always,109
97,stamp,109
98,wonderful,107
99,bien,107
100,see,107
101,ten,105
102,village,104
103,night,103
104,kilometer,102
105,galicia,102
106,group,102
107,different,101
108,accommodation,100
109,first,100
110,lovely,100
111,ride,100
