,Word,Frequency
3,visit,707
4,cathedral,684
5,córdoba,680
6,see,636
7,place,583
8,mosque,574
9,guide,527
10,building,460
11,tour,444
12,catedral,424
13,lugar,408
14,architecture,397
15,must,388
16,history,383
17,historia,382
18,time,364
19,ticket,348
20,visitar,344
21,amaze,341
22,pena,341
23,guía,339
24,beautiful,331
25,monumento,329
27,entrada,297
28,get,290
29,worth,286
30,inside,279
31,impresionante,265
32,christian,263
33,bien,263
34,go,263
35,interior,243
37,church,234
38,visite,227
39,audio,227
40,well,225
41,maravilla,216
42,euro,216
43,cathédrale,213
44,patio,210
45,site,207
46,vez,203
47,espectacular,196
48,ir,195
49,many,194
50,puede,192
51,merece,192
52,mundo,186
53,unique,185
54,day,182
55,guiada,181
56,dentro,178
57,arch,176
58,recomiendo,174
59,vale,171
60,830,171
61,hour,169
62,culturas,169
63,catholic,168
64,parte,167
65,make,166
66,would,166
67,around,164
68,mosquée,163
69,imprescindible,162
70,arte,162
71,visitarla,159
72,much,158
73,recomendable,157
74,mejor,156
75,c,155
76,build,155
77,free,154
78,cada,153
79,mezcla,152
80,ciudad,152
81,puedes,151
82,entrar,151
83,great,150
84,hora,150
85,tiempo,149
86,culture,148
87,monument,146
88,interest,146
89,spain,145
90,solo,145
91,religion,144
92,muslim,140
93,plus,140
94,cattedrale,139
95,2,138
96,like,136
97,moschea,136
98,grande,136
99,arquitectura,133
100,hacer,133
101,stun,132
102,obligada,132
103,très,132
104,moorish,131
105,mesquita,129
106,experience,128
107,cristiana,128
108,edificio,127
109,930,127
110,lieu,125
111,naranjos,124
112,tower,124
113,recommend,124
114,really,123
115,columnas,123
116,impressive,123
117,arcos,123
118,gente,122
119,10€,122
120,miss,121
121,único,121
122,belleza,121
123,aunque,121
124,cordoue,121
125,part,119
126,gran,118
127,voir,118
128,century,118
129,column,116
130,dont,114
131,queue,113
132,world,111
133,visto,111
134,different,111
135,early,109
136,ser,109
137,take,108
138,people,108
139,hace,108
140,torre,107
141,magnifique,107
142,trip,107
143,style,106
144,cette,106
145,mezquitacatedral,106
146,buy,104
147,visiting,104
148,could,103
149,verla,103
150,guia,103
151,nocturna,102
152,walk,102
153,mélange,101
154,sitio,101
