pays,lat,long,long_dest,lat_dest,User
 Espagne,-4.8379791,39.3260685,37.879030099999994,-4.779535727995244,1420
 France,1.8883335,46.603354,37.879030099999994,-4.779535727995244,358
 UK,-3.2765753,54.7023545,37.879030099999994,-4.779535727995244,350
 Italie,12.674297,42.6384261,37.879030099999994,-4.779535727995244,298
 Pays-Bas,5.38721,52.15517,37.879030099999994,-4.779535727995244,106
 Argentine,-64.9672817,-34.9964963,37.879030099999994,-4.779535727995244,95
 Australie,134.755,-24.7761086,37.879030099999994,-4.779535727995244,73
 Canada,-107.991707,61.0666922,37.879030099999994,-4.779535727995244,72
 Allemagne,10.4234469,51.0834196,37.879030099999994,-4.779535727995244,70
 Belgique,4.6667145,50.6402809,37.879030099999994,-4.779535727995244,68
 Portugal,-7.8896263,40.0332629,37.879030099999994,-4.779535727995244,65
 Suisse,8.2319736,46.7985624,37.879030099999994,-4.779535727995244,44
 Californie,-118.755997,36.7014631,37.879030099999994,-4.779535727995244,44
 Floride,-81.4639835,27.7567667,37.879030099999994,-4.779535727995244,40
 État de New York,-99.0743931,19.5047194,37.879030099999994,-4.779535727995244,29
 Suède,14.5208584,59.6749712,37.879030099999994,-4.779535727995244,29
 Japon,139.2394179,36.5748441,37.879030099999994,-4.779535727995244,28
 SP,9.691232634547537,44.23836595,37.879030099999994,-4.779535727995244,26
 Spain,-4.8379791,39.3260685,37.879030099999994,-4.779535727995244,24
 RJ,-42.419415,-22.2752762,37.879030099999994,-4.779535727995244,22
 Russie,97.7453061,64.6863136,37.879030099999994,-4.779535727995244,21
 Mexique,-102.26751579375113,23.553556999999998,37.879030099999994,-4.779535727995244,18
 NJ,-74.4041622,40.0757384,37.879030099999994,-4.779535727995244,18
 Danemark,10.3333283,55.670249,37.879030099999994,-4.779535727995244,17
 TX,-99.68300099546674,31.168570000000003,37.879030099999994,-4.779535727995244,17
 Singapour,103.8194992,1.357107,37.879030099999994,-4.779535727995244,16
 Irlande,-7.9794599,52.865196,37.879030099999994,-4.779535727995244,15
 Nouvelle-Zélande,172.8344077,-41.5000831,37.879030099999994,-4.779535727995244,14
Espagne,-4.8379791,39.3260685,37.879030099999994,-4.779535727995244,12
 Géorgie,44.0287382,41.6809707,37.879030099999994,-4.779535727995244,12
 Norvège,9.0999715,60.5000209,37.879030099999994,-4.779535727995244,11
 Pennsylvanie,-77.7278831,40.9699889,37.879030099999994,-4.779535727995244,11
 Colombie,-72.9088133,4.099917,37.879030099999994,-4.779535727995244,11
 Finlande,25.9209164,63.2467777,37.879030099999994,-4.779535727995244,11
 Hongrie,19.5060937,47.1817585,37.879030099999994,-4.779535727995244,10
 Autriche,13.2,47.2,37.879030099999994,-4.779535727995244,10
 Virginie,-78.4927721,37.1232245,37.879030099999994,-4.779535727995244,10
 CO,-72.9088133,4.099917,37.879030099999994,-4.779535727995244,10
 MA,-7.3362482,31.1728205,37.879030099999994,-4.779535727995244,10
 Chili,-71.3187697,-31.7613365,37.879030099999994,-4.779535727995244,9
 Israël,34.8667654,31.5313113,37.879030099999994,-4.779535727995244,9
 Grèce,21.9877132,38.9953683,37.879030099999994,-4.779535727995244,9
 Turquie,34.9249653,38.9597594,37.879030099999994,-4.779535727995244,9
 Inde,78.6677428,22.3511148,37.879030099999994,-4.779535727995244,9
 IL,-89.4337288,40.0796606,37.879030099999994,-4.779535727995244,8
 Chine,104.999927,35.000074,37.879030099999994,-4.779535727995244,8
 España,-4.8379791,39.3260685,37.879030099999994,-4.779535727995244,8
 Uruguay,-56.0201525,-32.8755548,37.879030099999994,-4.779535727995244,8
 Maroc,-7.3362482,31.1728205,37.879030099999994,-4.779535727995244,7
Italie,12.674297,42.6384261,37.879030099999994,-4.779535727995244,7
 Pologne,19.134422,52.215933,37.879030099999994,-4.779535727995244,7
 MD,-76.9382069,39.5162234,37.879030099999994,-4.779535727995244,6
 MG,46.4416422,-18.9249604,37.879030099999994,-4.779535727995244,6
 MI,-100.445882,39.7837304,37.879030099999994,-4.779535727995244,6
 Venezuela,-66.1109318,8.0018709,37.879030099999994,-4.779535727995244,6
 Pérou,-75.0458515,-6.8699697,37.879030099999994,-4.779535727995244,6
 RS,20.55144,44.1534121,37.879030099999994,-4.779535727995244,6
 Indonésie,117.8902853,-2.4833826,37.879030099999994,-4.779535727995244,6
 Roumanie,24.6859225,45.9852129,37.879030099999994,-4.779535727995244,6
Madrid,-3.7035825,40.4167047,37.879030099999994,-4.779535727995244,6
 Andorre,1.5732033,42.5407167,37.879030099999994,-4.779535727995244,6
 CT,-72.7342163,41.6500201,37.879030099999994,-4.779535727995244,6
 Etat de Washington,-99.2367271,19.4756687,37.879030099999994,-4.779535727995244,6
Royaume-Uni,-3.2765753,54.7023545,37.879030099999994,-4.779535727995244,6
 AZ,47.7872508,40.3936294,37.879030099999994,-4.779535727995244,5
 Lettonie,24.7537645,56.8406494,37.879030099999994,-4.779535727995244,5
 DF,-99.1331785,19.4326296,37.879030099999994,-4.779535727995244,5
France,1.8883335,46.603354,37.879030099999994,-4.779535727995244,5
 Costa Rica,-84.0739102,10.2735633,37.879030099999994,-4.779535727995244,5
Toronto,-79.3839347,43.6534817,37.879030099999994,-4.779535727995244,5
 Émirats arabes unis,53.9994829,24.0002488,37.879030099999994,-4.779535727995244,5
 Australia,134.755,-24.7761086,37.879030099999994,-4.779535727995244,5
 District de Columbia,-76.98804281910948,38.89384735,37.879030099999994,-4.779535727995244,4
 PE,-75.0458515,-6.8699697,37.879030099999994,-4.779535727995244,4
 Corée du Sud,127.6961188,36.638392,37.879030099999994,-4.779535727995244,4
 United States,-100.445882,39.7837304,37.879030099999994,-4.779535727995244,4
 UT,-111.714358,39.4225192,37.879030099999994,-4.779535727995244,4
Pays-Bas,5.38721,52.15517,37.879030099999994,-4.779535727995244,4
 Caroline du Sud,-80.4363743,33.6874388,37.879030099999994,-4.779535727995244,4
 Caroline du Nord,-79.0392919,35.6729639,37.879030099999994,-4.779535727995244,4
 Thaïlande,100.83273,14.8971921,37.879030099999994,-4.779535727995244,4
 Malaisie,102.2656823,4.5693754,37.879030099999994,-4.779535727995244,4
 OH,-82.6881395,40.2253569,37.879030099999994,-4.779535727995244,4
 WI,-89.6884637,44.4308975,37.879030099999994,-4.779535727995244,4
 Luxembourg,6.1296751,49.8158683,37.879030099999994,-4.779535727995244,4
 Afrique du Sud,24.991639,-28.8166236,37.879030099999994,-4.779535727995244,4
 Italy,12.674297,42.6384261,37.879030099999994,-4.779535727995244,4
 Arabie Saoudite,42.3528328,25.6242618,37.879030099999994,-4.779535727995244,4
 OR,-120.737257,43.9792797,37.879030099999994,-4.779535727995244,4
 Louisiane,-92.007126,30.8703881,37.879030099999994,-4.779535727995244,4
 BA,17.5961467,44.3053476,37.879030099999994,-4.779535727995244,4
 ME,-102.26751579375113,23.553556999999998,37.879030099999994,-4.779535727995244,4
 ES,-4.8379791,39.3260685,37.879030099999994,-4.779535727995244,4
 Taïwan,120.9820179,23.9739374,37.879030099999994,-4.779535727995244,3
 Porto Rico,-66.26152219418967,18.19897685,37.879030099999994,-4.779535727995244,3
 PA,-81.1308434,8.559559,37.879030099999994,-4.779535727995244,3
London,-0.1276474,51.5073219,37.879030099999994,-4.779535727995244,3
 RN,-1.6800198,48.1113387,37.879030099999994,-4.779535727995244,3
Japon,139.2394179,36.5748441,37.879030099999994,-4.779535727995244,3
london,-0.1276474,51.5073219,37.879030099999994,-4.779535727995244,3
 Brazil,-53.2,-10.3333333,37.879030099999994,-4.779535727995244,3
 United Kingdom,-3.2765753,54.7023545,37.879030099999994,-4.779535727995244,3
 Équateur,-79.3666965,-1.3397668,37.879030099999994,-4.779535727995244,3
 NV,9.0999715,60.5000209,37.879030099999994,-4.779535727995244,3
 NH,-71.6553992,43.4849133,37.879030099999994,-4.779535727995244,3
 Croatie,17.0118954,45.5643442,37.879030099999994,-4.779535727995244,3
 République tchèque,15.4749544,49.8167003,37.879030099999994,-4.779535727995244,3
 MN,-94.6113288,45.9896587,37.879030099999994,-4.779535727995244,3
PARIS,2.3200410217200766,48.8588897,37.879030099999994,-4.779535727995244,2
Autriche,13.2,47.2,37.879030099999994,-4.779535727995244,2
Buenos Aires,-58.4370894,-34.6075682,37.879030099999994,-4.779535727995244,2
Danemark,10.3333283,55.670249,37.879030099999994,-4.779535727995244,2
Singapore,103.8194992,1.357107,37.879030099999994,-4.779535727995244,2
