pays,lat,long,long_dest,lat_dest,User
 UK,-3.2765753,54.7023545,51.4993619,-0.12739984672471022,512
 Italie,12.674297,42.6384261,51.4993619,-0.12739984672471022,372
 France,1.8883335,46.603354,51.4993619,-0.12739984672471022,208
 Australie,134.755,-24.7761086,51.4993619,-0.12739984672471022,184
 Espagne,-4.8379791,39.3260685,51.4993619,-0.12739984672471022,175
 Canada,-107.991707,61.0666922,51.4993619,-0.12739984672471022,167
 Californie,-118.755997,36.7014631,51.4993619,-0.12739984672471022,126
 Floride,-81.4639835,27.7567667,51.4993619,-0.12739984672471022,112
 TX,-99.68300099546674,31.168570000000003,51.4993619,-0.12739984672471022,100
 État de New York,-99.0743931,19.5047194,51.4993619,-0.12739984672471022,94
 Argentine,-64.9672817,-34.9964963,51.4993619,-0.12739984672471022,92
 Allemagne,10.4234469,51.0834196,51.4993619,-0.12739984672471022,76
 IL,-89.4337288,40.0796606,51.4993619,-0.12739984672471022,62
 SP,9.691232634547537,44.23836595,51.4993619,-0.12739984672471022,53
 Pennsylvanie,-77.7278831,40.9699889,51.4993619,-0.12739984672471022,52
 Japon,139.2394179,36.5748441,51.4993619,-0.12739984672471022,49
 Géorgie,44.0287382,41.6809707,51.4993619,-0.12739984672471022,46
 MA,-7.3362482,31.1728205,51.4993619,-0.12739984672471022,43
 Mexique,-102.26751579375113,23.553556999999998,51.4993619,-0.12739984672471022,40
 Pays-Bas,5.38721,52.15517,51.4993619,-0.12739984672471022,38
 NJ,-74.4041622,40.0757384,51.4993619,-0.12739984672471022,37
 CO,-72.9088133,4.099917,51.4993619,-0.12739984672471022,37
 OH,-82.6881395,40.2253569,51.4993619,-0.12739984672471022,36
 Caroline du Nord,-79.0392919,35.6729639,51.4993619,-0.12739984672471022,34
 Inde,78.6677428,22.3511148,51.4993619,-0.12739984672471022,32
 Russie,97.7453061,64.6863136,51.4993619,-0.12739984672471022,32
 MI,-99.00906717303353,36.81843005,51.4993619,-0.12739984672471022,30
 AZ,47.7872508,40.3936294,51.4993619,-0.12739984672471022,30
 Belgique,4.6667145,50.6402809,51.4993619,-0.12739984672471022,29
 Portugal,-7.8896263,40.0332629,51.4993619,-0.12739984672471022,29
 Suisse,8.2319736,46.7985624,51.4993619,-0.12739984672471022,28
 RJ,-42.419415,-22.2752762,51.4993619,-0.12739984672471022,28
 TN,9.400138,33.8439408,51.4993619,-0.12739984672471022,26
 Etat de Washington,-99.2367271,19.4756687,51.4993619,-0.12739984672471022,26
 United States,-99.00906717303353,36.81843005,51.4993619,-0.12739984672471022,25
 MN,-94.6113288,45.9896587,51.4993619,-0.12739984672471022,24
 Virginie,-78.4927721,37.1232245,51.4993619,-0.12739984672471022,24
 Caroline du Sud,-80.4363743,33.6874388,51.4993619,-0.12739984672471022,22
 Suède,14.5208584,59.6749712,51.4993619,-0.12739984672471022,22
 Autriche,14.12456,47.59397,51.4993619,-0.12739984672471022,21
 WI,-89.6884637,44.4308975,51.4993619,-0.12739984672471022,18
 Danemark,10.3333283,55.670249,51.4993619,-0.12739984672471022,18
 Nouvelle-Zélande,172.8344077,-41.5000831,51.4993619,-0.12739984672471022,17
 Israël,34.8667654,31.5313113,51.4993619,-0.12739984672471022,17
 OR,-120.737257,43.9792797,51.4993619,-0.12739984672471022,17
 Singapour,103.8194992,1.357107,51.4993619,-0.12739984672471022,17
 AL,-86.8295337,33.2588817,51.4993619,-0.12739984672471022,17
 Norvège,9.0999715,60.5000209,51.4993619,-0.12739984672471022,16
 MG,46.4416422,-18.9249604,51.4993619,-0.12739984672471022,16
 Pologne,19.134422,52.215933,51.4993619,-0.12739984672471022,16
 Irlande,-7.9794599,52.865196,51.4993619,-0.12739984672471022,16
 UT,-111.714358,39.4225192,51.4993619,-0.12739984672471022,15
 MD,-76.9382069,39.5162234,51.4993619,-0.12739984672471022,15
 Chine,104.999927,35.000074,51.4993619,-0.12739984672471022,15
 Chili,-71.3187697,-31.7613365,51.4993619,-0.12739984672471022,14
 MO,-92.5617875,38.7604815,51.4993619,-0.12739984672471022,14
 Malaisie,102.2656823,4.5693754,51.4993619,-0.12739984672471022,13
 Grèce,21.9877132,38.9953683,51.4993619,-0.12739984672471022,13
 Émirats arabes unis,53.9994829,24.0002488,51.4993619,-0.12739984672471022,12
