pays,lat,long,long_dest,lat_dest,User
 Espagne,-4.8379791,39.3260685,42.8804219,-8.5458608,250
 Italie,12.674297,42.6384261,42.8804219,-8.5458608,72
 UK,-3.2765753,54.7023545,42.8804219,-8.5458608,56
 Argentine,-64.9672817,-34.9964963,42.8804219,-8.5458608,55
 Australie,134.755,-24.7761086,42.8804219,-8.5458608,40
 Canada,-107.991707,61.0666922,42.8804219,-8.5458608,31
 Californie,-118.755997,36.7014631,42.8804219,-8.5458608,27
 CA,-107.991707,61.0666922,42.8804219,-8.5458608,23
Napoli,14.2487826,40.8359336,42.8804219,-8.5458608,23
Canarias,-16.621447121144122,28.2935785,42.8804219,-8.5458608,23
 Égypte,29.2675469,26.2540493,42.8804219,-8.5458608,23
Texas,-99.68300099546674,31.168570000000003,42.8804219,-8.5458608,23
Dublin,-6.2602732,53.3497645,42.8804219,-8.5458608,23
Rochdale,-2.1557561,53.6153659,42.8804219,-8.5458608,23
 Irlande,-7.9794599,52.865196,42.8804219,-8.5458608,19
 Floride,-81.4639835,27.7567667,42.8804219,-8.5458608,17
 Mexique,-102.26751579375113,23.553556999999998,42.8804219,-8.5458608,12
 Portugal,-7.8896263,40.0332629,42.8804219,-8.5458608,11
 État de New York,-99.0743931,19.5047194,42.8804219,-8.5458608,9
 TX,-99.68300099546674,31.168570000000003,42.8804219,-8.5458608,9
 Pays-Bas,5.38721,52.15517,42.8804219,-8.5458608,8
 France,1.8883335,46.603354,42.8804219,-8.5458608,8
 CO,-72.9088133,4.099917,42.8804219,-8.5458608,6
 Allemagne,10.4234469,51.0834196,42.8804219,-8.5458608,6
 Pennsylvanie,-77.7278831,40.9699889,42.8804219,-8.5458608,6
 Colombie,-72.9088133,4.099917,42.8804219,-8.5458608,6
 Uruguay,-56.0201525,-32.8755548,42.8804219,-8.5458608,6
 Japon,139.2394179,36.5748441,42.8804219,-8.5458608,5
 IL,-89.4337288,40.0796606,42.8804219,-8.5458608,5
Italie,12.674297,42.6384261,42.8804219,-8.5458608,5
 Russie,97.7453061,64.6863136,42.8804219,-8.5458608,5
 Pérou,-75.0458515,-6.8699697,42.8804219,-8.5458608,5
 Suède,14.5208584,59.6749712,42.8804219,-8.5458608,4
 Afrique du Sud,24.991639,-28.8166236,42.8804219,-8.5458608,4
 MA,-7.3362482,31.1728205,42.8804219,-8.5458608,4
 SC,-80.4363743,33.6874388,42.8804219,-8.5458608,4
 Norvège,9.0999715,60.5000209,42.8804219,-8.5458608,4
Irlande,-7.9794599,52.865196,42.8804219,-8.5458608,4
 Virginie,-78.4927721,37.1232245,42.8804219,-8.5458608,4
 CT,-72.7342163,41.6500201,42.8804219,-8.5458608,4
 Australia,134.755,-24.7761086,42.8804219,-8.5458608,4
 PR,14.4212535,50.0874654,42.8804219,-8.5458608,4
