pays,lat,long,long_dest,lat_dest,User
 UK,-3.2765753,54.7023545,37.879030099999994,-4.779535727995244,512
 Italie,12.674297,42.6384261,37.879030099999994,-4.779535727995244,372
 France,1.8883335,46.603354,37.879030099999994,-4.779535727995244,208
 Australie,134.755,-24.7761086,37.879030099999994,-4.779535727995244,184
 Espagne,-4.8379791,39.3260685,37.879030099999994,-4.779535727995244,175
 Canada,-107.991707,61.0666922,37.879030099999994,-4.779535727995244,167
 Californie,-118.755997,36.7014631,37.879030099999994,-4.779535727995244,126
 Floride,-81.4639835,27.7567667,37.879030099999994,-4.779535727995244,112
 TX,-99.68300099546674,31.168570000000003,37.879030099999994,-4.779535727995244,100
 État de New York,-99.0743931,19.5047194,37.879030099999994,-4.779535727995244,94
 Argentine,-64.9672817,-34.9964963,37.879030099999994,-4.779535727995244,92
 Allemagne,10.4234469,51.0834196,37.879030099999994,-4.779535727995244,76
 IL,-89.4337288,40.0796606,37.879030099999994,-4.779535727995244,62
 SP,9.691232634547537,44.23836595,37.879030099999994,-4.779535727995244,53
 Pennsylvanie,-77.7278831,40.9699889,37.879030099999994,-4.779535727995244,52
 Japon,139.2394179,36.5748441,37.879030099999994,-4.779535727995244,49
 Géorgie,44.0287382,41.6809707,37.879030099999994,-4.779535727995244,46
 MA,-7.3362482,31.1728205,37.879030099999994,-4.779535727995244,43
 Mexique,-102.26751579375113,23.553556999999998,37.879030099999994,-4.779535727995244,40
 Pays-Bas,5.38721,52.15517,37.879030099999994,-4.779535727995244,38
 NJ,-74.4041622,40.0757384,37.879030099999994,-4.779535727995244,37
 CO,-72.9088133,4.099917,37.879030099999994,-4.779535727995244,37
 OH,-82.6881395,40.2253569,37.879030099999994,-4.779535727995244,36
 Caroline du Nord,-79.0392919,35.6729639,37.879030099999994,-4.779535727995244,34
 Inde,78.6677428,22.3511148,37.879030099999994,-4.779535727995244,32
 Russie,97.7453061,64.6863136,37.879030099999994,-4.779535727995244,32
 AZ,47.7872508,40.3936294,37.879030099999994,-4.779535727995244,30
 MI,-99.00906717303353,36.81843005,37.879030099999994,-4.779535727995244,30
 Belgique,4.6667145,50.6402809,37.879030099999994,-4.779535727995244,29
 Portugal,-7.8896263,40.0332629,37.879030099999994,-4.779535727995244,29
 RJ,-42.419415,-22.2752762,37.879030099999994,-4.779535727995244,28
 Suisse,8.2319736,46.7985624,37.879030099999994,-4.779535727995244,28
 TN,9.400138,33.8439408,37.879030099999994,-4.779535727995244,26
 Etat de Washington,-99.2367271,19.4756687,37.879030099999994,-4.779535727995244,26
 United States,-99.00906717303353,36.81843005,37.879030099999994,-4.779535727995244,25
 Virginie,-78.4927721,37.1232245,37.879030099999994,-4.779535727995244,24
 MN,-94.6113288,45.9896587,37.879030099999994,-4.779535727995244,24
 Caroline du Sud,-80.4363743,33.6874388,37.879030099999994,-4.779535727995244,22
 Suède,14.5208584,59.6749712,37.879030099999994,-4.779535727995244,22
 Autriche,14.12456,47.59397,37.879030099999994,-4.779535727995244,21
 WI,-89.6884637,44.4308975,37.879030099999994,-4.779535727995244,18
 Danemark,10.3333283,55.670249,37.879030099999994,-4.779535727995244,18
 Nouvelle-Zélande,172.8344077,-41.5000831,37.879030099999994,-4.779535727995244,17
 Israël,34.8667654,31.5313113,37.879030099999994,-4.779535727995244,17
 OR,-120.737257,43.9792797,37.879030099999994,-4.779535727995244,17
 AL,-86.8295337,33.2588817,37.879030099999994,-4.779535727995244,17
 Singapour,103.8194992,1.357107,37.879030099999994,-4.779535727995244,17
 Irlande,-7.9794599,52.865196,37.879030099999994,-4.779535727995244,16
 MG,46.4416422,-18.9249604,37.879030099999994,-4.779535727995244,16
 Pologne,19.134422,52.215933,37.879030099999994,-4.779535727995244,16
 Norvège,9.0999715,60.5000209,37.879030099999994,-4.779535727995244,16
 MD,-76.9382069,39.5162234,37.879030099999994,-4.779535727995244,15
 Chine,104.999927,35.000074,37.879030099999994,-4.779535727995244,15
 UT,-111.714358,39.4225192,37.879030099999994,-4.779535727995244,15
 Chili,-71.3187697,-31.7613365,37.879030099999994,-4.779535727995244,14
 MO,-92.5617875,38.7604815,37.879030099999994,-4.779535727995244,14
 Malaisie,102.2656823,4.5693754,37.879030099999994,-4.779535727995244,13
 Grèce,21.9877132,38.9953683,37.879030099999994,-4.779535727995244,13
 Roumanie,24.6859225,45.9852129,37.879030099999994,-4.779535727995244,12
 Émirats arabes unis,53.9994829,24.0002488,37.879030099999994,-4.779535727995244,12
 République tchèque,15.4749544,49.8167003,37.879030099999994,-4.779535727995244,12
 Uruguay,-56.0201525,-32.8755548,37.879030099999994,-4.779535727995244,11
 SC,-80.4363743,33.6874388,37.879030099999994,-4.779535727995244,11
 CT,-72.7342163,41.6500201,37.879030099999994,-4.779535727995244,11
 IN,78.6677428,22.3511148,37.879030099999994,-4.779535727995244,11
 District de Columbia,-76.98804281910948,38.89384735,37.879030099999994,-4.779535727995244,10
 KS,-98.5821872,38.27312,37.879030099999994,-4.779535727995244,10
